Gene ID	Illumina ID	
11282	ILMN_1809272 [Chip: ]; ILMN_1796106 [Chip: ]; ILMN_1722438 [Chip: ]; ILMN_3310720 [Chip: ]; 0002690594 [Chip: ]; 0002940673 [Chip: ]; 0001660717 [Chip: ]	
11283	0002900019 [Chip: ]; ILMN_1718603 [Chip: ]	
11285	ILMN_1663541 [Chip: ]; 0005420195 [Chip: ]	
113	0003130400 [Chip: ]; ILMN_1655935 [Chip: ]	
113026	ILMN_1722798 [Chip: ]	
11309	ILMN_2087656 [Chip: ]; ILMN_1761199 [Chip: ]; 0001780068 [Chip: ]	
113189	0001570338 [Chip: ]; ILMN_1743340 [Chip: ]	
11320	0001050114 [Chip: ]; ILMN_1755643 [Chip: ]	
113235	ILMN_1673681 [Chip: ]	
113278	0000870368 [Chip: ]; ILMN_1740923 [Chip: ]	
11332	0001500433 [Chip: ]; 0005890139 [Chip: ]; ILMN_1740265 [Chip: ]; ILMN_1788078 [Chip: ]; 0006370204 [Chip: ]; ILMN_1728883 [Chip: ]; ILMN_2332250 [Chip: ]; ILMN_1784756 [Chip: ]; 0001190441 [Chip: ]; 0005890075 [Chip: ]; ILMN_2252621 [Chip: ]; ILMN_1719178 [Chip: ]	
11343	ILMN_1684280 [Chip: ]; ILMN_1738589 [Chip: ]; 0005720072 [Chip: ]; ILMN_1707310 [Chip: ]; ILMN_1657708 [Chip: ]	
113451	ILMN_1659599 [Chip: ]; 0006550110 [Chip: ]	
113675	0000780463 [Chip: ]; ILMN_1750674 [Chip: ]	
114	ILMN_1672938 [Chip: ]; 0005550152 [Chip: ]; ILMN_1754440 [Chip: ]	
114112	0006220338 [Chip: ]; ILMN_1678310 [Chip: ]; ILMN_2188155 [Chip: ]	
114134	ILMN_1705855 [Chip: ]; 0000730722 [Chip: ]; ILMN_1741502 [Chip: ]	
114805	ILMN_1738869 [Chip: ]; 0003060577 [Chip: ]; 0100670452 [Chip: ]; ILMN_1817974 [Chip: ]	
114971	0002350372 [Chip: ]; ILMN_3236945 [Chip: ]; 0106550280 [Chip: ]	
115	ILMN_1654287 [Chip: ]	
115019	0005360736 [Chip: ]; ILMN_1683102 [Chip: ]; ILMN_2415277 [Chip: ]; 0001570546 [Chip: ]; ILMN_1726081 [Chip: ]	
115111	0002370133 [Chip: ]; 0003870020 [Chip: ]; ILMN_1715850 [Chip: ]; ILMN_1705172 [Chip: ]	
1152	0006200528 [Chip: ]; ILMN_1671478 [Chip: ]	
115286	0006040576 [Chip: ]; ILMN_1811536 [Chip: ]; ILMN_1659894 [Chip: ]; ILMN_1768251 [Chip: ]	
115584	0003390632 [Chip: ]; ILMN_1715003 [Chip: ]; ILMN_2228780 [Chip: ]	
1158	0004590022 [Chip: ]; ILMN_1757521 [Chip: ]	
1159	ILMN_1715476 [Chip: ]; ILMN_1763491 [Chip: ]; 0000940128 [Chip: ]	
1160	0004210041 [Chip: ]; ILMN_1764266 [Chip: ]	
116255	0000580092 [Chip: ]; ILMN_1765971 [Chip: ]	
116285	ILMN_1661434 [Chip: ]; ILMN_1709539 [Chip: ]; 0002230497 [Chip: ]	
116369	0005080400 [Chip: ]; ILMN_1656849 [Chip: ]; ILMN_1773757 [Chip: ]; ILMN_2394210 [Chip: ]; ILMN_1755843 [Chip: ]; 0006620088 [Chip: ]; 0001340181 [Chip: ]; ILMN_1672575 [Chip: ]	
117247	ILMN_1782938 [Chip: ]	
117248	ILMN_1813104 [Chip: ]	
117283	ILMN_3261111 [Chip: ]; ILMN_1738268 [Chip: ]; ILMN_3184843 [Chip: ]; 0002810131 [Chip: ]	
1178	ILMN_1654875 [Chip: ]	
118881	0000130156 [Chip: ]; ILMN_1736752 [Chip: ]	
12	0006370575 [Chip: ]; ILMN_1788874 [Chip: ]	
1200	ILMN_1729234 [Chip: ]; 0002470463 [Chip: ]	
120103	0003840504 [Chip: ]; ILMN_2082324 [Chip: ]; ILMN_1871688 [Chip: ]; ILMN_1802348 [Chip: ]	
121260	ILMN_1679731 [Chip: ]	
121278	0004760195 [Chip: ]; ILMN_1734352 [Chip: ]	
1215	0007050082 [Chip: ]	
122481	ILMN_1684305 [Chip: ]	
122622	ILMN_2240009 [Chip: ]; 0003850739 [Chip: ]; ILMN_1699404 [Chip: ]; ILMN_1720235 [Chip: ]; 0002940647 [Chip: ]; ILMN_1749804 [Chip: ]	
122970	0002350451 [Chip: ]; ILMN_1764321 [Chip: ]	
123041	ILMN_1708530 [Chip: ]; 0000870280 [Chip: ]; ILMN_1675391 [Chip: ]; 0005910364 [Chip: ]; ILMN_1815949 [Chip: ]; ILMN_2370738 [Chip: ]	
123099	ILMN_1768772 [Chip: ]; 0003140519 [Chip: ]	
123745	ILMN_2370862 [Chip: ]; 0006770731 [Chip: ]; ILMN_1810595 [Chip: ]	
124	0006550671 [Chip: ]; ILMN_1764309 [Chip: ]	
1244	0003710605 [Chip: ]; ILMN_1780706 [Chip: ]; ILMN_1676278 [Chip: ]	
124583	0006040504 [Chip: ]; ILMN_1664012 [Chip: ]	
124637	0102480577 [Chip: ]; ILMN_1670925 [Chip: ]; 0000360647 [Chip: ]	
124935	0002900138 [Chip: ]; ILMN_1787127 [Chip: ]	
124975	ILMN_1788942 [Chip: ]; 0000520091 [Chip: ]	
125	0000450168 [Chip: ]; ILMN_1811598 [Chip: ]	
125061	0004120100 [Chip: ]; ILMN_2095653 [Chip: ]; ILMN_1707551 [Chip: ]	
125206	ILMN_1658806 [Chip: ]; ILMN_2412849 [Chip: ]; 0002340692 [Chip: ]; ILMN_1691503 [Chip: ]; ILMN_1709637 [Chip: ]	
125965	ILMN_3232949 [Chip: ]; ILMN_2176467 [Chip: ]; ILMN_1725547 [Chip: ]	
126	-	
126129	ILMN_1773855 [Chip: ]; 0005550408 [Chip: ]	
126328	ILMN_2175712 [Chip: ]; 0002640433 [Chip: ]; ILMN_1682299 [Chip: ]	
126410	ILMN_1708303 [Chip: ]	
1267	ILMN_1811758 [Chip: ]; 0002970441 [Chip: ]	
126792	0001090672 [Chip: ]; ILMN_1739749 [Chip: ]	
127	0005720520 [Chip: ]; ILMN_2136010 [Chip: ]	
127124	ILMN_2371001 [Chip: ]; ILMN_1726273 [Chip: ]	
128	0001410403 [Chip: ]; ILMN_1738604 [Chip: ]	
128869	0006040110 [Chip: ]; ILMN_1738263 [Chip: ]	
129607	0002900121 [Chip: ]; ILMN_1783621 [Chip: ]	
129642	ILMN_1777853 [Chip: ]; ILMN_2347424 [Chip: ]; 0005340014 [Chip: ]; ILMN_1792304 [Chip: ]	
129807	ILMN_2219683 [Chip: ]; 0006110019 [Chip: ]; ILMN_1762636 [Chip: ]	
13	ILMN_1760414 [Chip: ]; ILMN_1805938 [Chip: ]; 0001690739 [Chip: ]	
130	0002350546 [Chip: ]; ILMN_1691175 [Chip: ]	
130013	0002060059 [Chip: ]; ILMN_1727091 [Chip: ]	
130367	0004060687 [Chip: ]; ILMN_1674507 [Chip: ]; ILMN_1662140 [Chip: ]; ILMN_1812062 [Chip: ]; ILMN_1811364 [Chip: ]	
130752	ILMN_1683377 [Chip: ]	
131	0005860458 [Chip: ]; ILMN_2223359 [Chip: ]	
1312	ILMN_1730084 [Chip: ]; 0002230538 [Chip: ]	
131669	ILMN_1668533 [Chip: ]; 0000460092 [Chip: ]	
132	0003800520 [Chip: ]; ILMN_1768062 [Chip: ]; ILMN_2358626 [Chip: ]; 0004050278 [Chip: ]; ILMN_2358628 [Chip: ]; 0006420270 [Chip: ]; ILMN_1801020 [Chip: ]	
132158	0004560632 [Chip: ]; ILMN_1791222 [Chip: ]	
1327	ILMN_2071898 [Chip: ]; 0001050537 [Chip: ]; ILMN_1652207 [Chip: ]; ILMN_1672583 [Chip: ]	
132789	0002450035 [Chip: ]; ILMN_1691567 [Chip: ]; ILMN_2079488 [Chip: ]	
1329	0005050008 [Chip: ]; ILMN_1894862 [Chip: ]	
1337	ILMN_1783636 [Chip: ]	
1339	0004780068 [Chip: ]; ILMN_1752481 [Chip: ]	
1340	ILMN_2154671 [Chip: ]; ILMN_1781094 [Chip: ]	
1345	ILMN_1654151 [Chip: ]; 0005390010 [Chip: ]	
134526	0005340465 [Chip: ]; ILMN_1785474 [Chip: ]	
1346	ILMN_1662419 [Chip: ]; 0006840440 [Chip: ]	
1347	0004540040 [Chip: ]; ILMN_1887013 [Chip: ]	
1349	ILMN_2184049 [Chip: ]; 0007000497 [Chip: ]; ILMN_1794223 [Chip: ]	
1350	ILMN_1798189 [Chip: ]; 0005050180 [Chip: ]	
1351	-	
135152	0005050278 [Chip: ]	
1356	ILMN_1739608 [Chip: ]; 0001980458 [Chip: ]; ILMN_1813206 [Chip: ]	
1357	0006040181 [Chip: ]	
1358	-	
1371	ILMN_1726852 [Chip: ]; ILMN_3240389 [Chip: ]	
1373	ILMN_1792748 [Chip: ]; 0001240504 [Chip: ]	
1374	ILMN_1696316 [Chip: ]; ILMN_1687589 [Chip: ]; ILMN_1710052 [Chip: ]; 0000050161 [Chip: ]	
1375	-	
1376	ILMN_1678579 [Chip: ]; 0002360154 [Chip: ]	
137872	ILMN_2363634 [Chip: ]; ILMN_1767658 [Chip: ]; ILMN_1702858 [Chip: ]; 0003850609 [Chip: ]; 0000520609 [Chip: ]	
137964	ILMN_1740752 [Chip: ]; 0000730402 [Chip: ]	
1384	ILMN_1737992 [Chip: ]; 0006130465 [Chip: ]; ILMN_1728671 [Chip: ]	
140679	ILMN_1697512 [Chip: ]; 0002450519 [Chip: ]	
140838	0004010671 [Chip: ]; ILMN_1667132 [Chip: ]; ILMN_2064132 [Chip: ]	
142680	ILMN_1811880 [Chip: ]; 0006760195 [Chip: ]; ILMN_1754053 [Chip: ]	
1431	0004230072 [Chip: ]; 0001230079 [Chip: ]; ILMN_1709775 [Chip: ]; ILMN_1706057 [Chip: ]; ILMN_1791182 [Chip: ]; ILMN_3307648 [Chip: ]; ILMN_2396410 [Chip: ]	
144193	ILMN_1788239 [Chip: ]; 0006520692 [Chip: ]	
144195	ILMN_1668865 [Chip: ]; 0006130687 [Chip: ]	
145226	0004210377 [Chip: ]; ILMN_1792182 [Chip: ]	
146712	ILMN_1702817 [Chip: ]	
1468	ILMN_1804090 [Chip: ]; 0004480377 [Chip: ]	
1491	ILMN_1784112 [Chip: ]; 0006400538 [Chip: ]; ILMN_2305112 [Chip: ]; 0001190070 [Chip: ]; ILMN_1777060 [Chip: ]; ILMN_2305116 [Chip: ]	
15	ILMN_1729835 [Chip: ]; 0001940739 [Chip: ]	
1503	-	
