GENE,PPM
5730,38.0
57379,nan
57393,nan
5740,129.0
57419,nan
5742,107.0
5743,nan
57468,nan
57486,0.68
57571,nan
57665,10.0
57678,nan
57733,nan
57818,nan
57834,nan
57835,0.18
5805,nan
5825,2.0
5831,2.0
5832,4.0
5833,12.0
5834,286.0
5836,25.0
5837,41.0
58508,0.02
58510,nan
586,0.92
5860,164.0
587,17.0
59272,nan
593,5.0
594,8.0
5947,97.0
5948,19.0
5950,174.0
5959,nan
5973,3.0
6005,nan
60386,16.0
60481,6.0
60482,nan
60490,0.96
60496,4.0
60559,13.0
6120,30.0
6184,116.0
6185,68.0
622,3.0
6240,nan
6241,nan
6303,nan
6307,nan
6309,0.97
6319,1.0
6342,25.0
635,2.0
6389,75.0
6390,81.0
6391,22.0
63917,nan
6392,16.0
64064,nan
64077,97.0
64078,nan
64080,2.0
64087,18.0
64131,nan
64132,nan
641371,36.0
641372,nan
641649,nan
64220,nan
64240,nan
64241,nan
644,90.0
6448,11.0
64499,nan
645,640.0
645740,nan
64579,nan
64600,nan
6470,8.0
64711,nan
6472,6.0
6476,1.0
64772,2.0
64781,nan
6480,6.0
64802,2.0
64816,nan
6482,0.7
6483,nan
64834,9.0
6484,2.0
64841,9.0
64849,nan
64850,nan
6487,nan
6489,nan
64902,nan
65010,nan
6505,nan
6506,nan
6507,nan
6508,nan
6509,2.0
6510,3.0
6511,nan
6512,nan
6513,12.0
6514,nan
6515,nan
6517,0.55
6518,2.0
6519,1.0
6520,2.0
6521,15.0
6522,nan
65220,2.0
6523,2.0
6524,nan
6526,nan
65263,7.0
6528,nan
6529,nan
6530,7.0
6531,nan
6532,nan
6533,nan
6534,nan
6535,nan
6536,nan
6538,nan
6539,nan
6540,nan
6541,nan
6542,nan
6543,nan
6546,2.0
6547,nan
6548,11.0
6549,nan
6550,nan
6553,nan
6554,nan
6555,nan
6556,nan
6557,nan
6558,9.0
6559,nan
6560,5.0
6561,nan
6563,3.0
6564,nan
6565,1.0
6566,6.0
6567,nan
6568,nan
6569,nan
6570,0.78
6571,1.0
6572,nan
6573,nan
6574,nan
6575,0.74
6576,43.0
6578,0.26
6579,nan
6580,nan
6581,10.0
6582,nan
6583,nan
6584,nan
65985,0.17
66002,nan
66035,nan
6609,nan
6610,0.51
6611,59.0
6646,0.46
6647,1727.0
6648,1281.0
6649,2251.0
6652,207.0
6675,3.0
669,30.0
6697,123.0
6713,0.26
6715,nan
6716,7.0
6718,9.0
6723,16.0
6783,nan
6785,nan
6799,nan
6817,3.0
6818,3.0
682,21.0
6820,2.0
6821,9.0
6822,nan
6833,2.0
6839,nan
686,3.0
6888,380.0
6898,nan
6916,3.0
6999,nan
7001,2209.0
7037,1.0
7054,8.0
7083,nan
7084,0.63
7086,792.0
7108,3.0
7166,nan
7167,1825.0
7173,nan
7177,nan
7263,36.0
7264,41.0
728441,nan
7295,907.0
7296,135.0
7298,nan
7299,nan
7306,nan
7350,nan
7351,nan
7352,nan
7355,nan
7357,nan
7358,61.0
7360,75.0
7363,nan
7364,nan
7365,nan
7366,nan
7367,nan
7368,4.0
7371,nan
7372,7.0
7378,0.74
7381,75.0
7384,104.0
7385,137.0
7386,97.0
7388,45.0
7389,7.0
7390,5.0
7498,nan
759,641.0
760,146.0
761,808.0
762,2.0
763,nan
765,0.37
766,nan
767,1.0
768,nan
771,2.0
7779,nan
7841,14.0
788,6.0
790,7.0
79017,33.0
79053,0.52
79071,nan
79077,1.0
79087,nan
7915,3.0
79178,10.0
7923,29.0
79369,nan
7941,3.0
79581,nan
79586,nan
79611,0.68
79623,nan
79646,nan
79695,nan
79717,17.0
79723,nan
79751,6.0
79813,nan
79814,nan
79837,3.0
79896,0.99
79901,24.0
7991,nan
79966,nan
80025,1.0
80055,0.59
80142,13.0
80146,nan
80150,6.0
80162,nan
80168,nan
80201,nan
80235,nan
80270,nan
80271,nan
8029,nan
80308,0.89
80339,nan
8034,nan
80347,12.0
8050,2.0
80704,nan
80724,nan
80854,11.0
81031,nan
8140,2.0
81490,2.0
81537,nan
81539,nan
81579,nan
81616,nan
81693,nan
8170,nan
81849,nan
8228,nan
8260,16.0
8277,nan
8288,0.77
8309,2.0
8310,1.0
83549,nan
83594,0.48
83697,nan
8372,nan
83733,0.21
83852,nan
83884,nan
8394,nan
8395,nan
8396,4.0
8398,nan
8399,nan
84002,nan
8402,36.0
84076,nan
84105,14.0
84129,nan
8418,nan
8424,nan
84264,nan
8435,nan
8443,0.4
84444,nan
84532,9.0
84569,nan
84618,nan
84649,nan
84679,nan
84693,6.0
847,258.0
84701,nan
84706,nan
84720,nan
84735,nan
8479,nan
84803,nan
84812,nan
84889,nan
84890,10.0
84912,nan
84920,nan
8501,0.36
8503,nan
8509,nan
8513,nan
8525,0.15
8526,3.0
8527,nan
8528,nan
8529,nan
85320,nan
8534,nan
85365,6.0
8540,2.0
85465,nan
8560,4.0
8564,nan
8566,79.0
8574,151.0
8604,32.0
8608,nan
8611,nan
8612,nan
8613,nan
8622,0.26
8639,876.0
8647,nan
8654,23.0
8659,61.0
8671,2.0
8693,0.8
8694,nan
8703,nan
8704,nan
8705,nan
8706,nan
8714,0.62
873,603.0
8733,1.0
874,89.0
875,nan
8760,17.0
8776,0.62
8781,nan
8789,6.0
8790,2.0
8801,87.0
8802,165.0
8803,79.0
8813,12.0
8818,nan
8821,0.41
8824,13.0
883,nan
8833,21.0
8836,2.0
8854,90.0
8867,0.11
8869,nan
8871,0.29
8875,nan
8876,nan
8877,nan
8879,1.0
8884,nan
8897,0.16
8898,1.0
8908,nan
8942,nan
8972,nan
8974,1.0
8985,2.0
89869,nan
89874,5.0
8992,nan
9016,nan
90161,nan
9023,nan
90423,nan
9045,131.0
9056,nan
9057,nan
9058,nan
9060,0.76
9061,8.0
90701,6.0
9091,nan
9114,8.0
91227,nan
9123,8.0
91373,1.0
9152,nan
9153,nan
9154,nan
9162,nan
9167,14.0
91703,nan
91734,nan
9187,nan
9194,nan
9197,0.83
92086,nan
9227,nan
9245,nan
92483,nan
92579,2.0
92745,nan
9296,7.0
93010,nan
93034,nan
93100,25.0
93183,nan
9331,nan
9334,nan
9348,nan
93492,nan
