REACTION,KCAT [1/hr]
NACHEXA12ly,nan
NACHEXA13ly,nan
NACHEXA14ly,nan
NACHEXA15ly,nan
NACHEXA16ly,nan
NACHEXA17ly,nan
NACHEXA18ly,nan
NACHEXA19ly,nan
NACHEXA1ly,nan
NACHEXA20ly,nan
NACHEXA21ly,nan
NACHEXA22ly,nan
NACHEXA2ly,nan
NACHEXA3ly,nan
NACHEXA4ly,nan
NACHEXA5ly,nan
NACHEXA6ly,nan
NACHEXA7ly,nan
NACHEXA8ly,nan
NACHEXA9ly,nan
NACUP,nan
NADH2_u10m,3054000
NADHtpu,nan
NADHtru,nan
NADK,nan
NADN,373172.4
NADNe,373172.4
NADPHtru,nan
NADPHtxu,nan
NADPN,67587.428571
NADPNe,67587.428571
NADPtru,nan
NADPtxu,nan
NADS2,nan
NADtn_for,nan
NADtpu,nan
NADtru,nan
NAGA2ly,7412846.856576
NAGAlby,nan
NAGAly,25.2
NAGLCAly,nan
NAHCO3_HCLt_for,nan
NAIt_for,nan
NaKt,45540
NAt_for,nan
NAt3_1_for,nan
NAt3_1g_for,nan
NAt5_for,nan
NAtx_for,nan
NBAHH_ir,19800
NCAMUP,nan
NCCt,nan
NCKt_for,nan
NCNt_for,nan
NDP10ex,856800
NDP3ex,856800
NDP6,856800
NDP7er,856800
NDP7ex,856800
NDP7g,856800
NDP8,856800
NDP8ex,856800
NDPK1_for,nan
NDPK10_for,950400
NDPK10m_for,950400
NDPK10n_for,950400
NDPK1m_for,543600
NDPK1n_for,543600
NDPK2_for,nan
NDPK2m_for,950400
NDPK2n_for,950400
NDPK3_for,nan
NDPK3m_for,950400
NDPK3n_for,950400
NDPK4_for,nan
NDPK4m,509160
NDPK4n_for,509160
NDPK5_for,nan
NDPK5m,950400
NDPK5n_for,950400
NDPK6_for,nan
NDPK6m_for,950400
NDPK6n_for,950400
NDPK7_for,nan
NDPK7m,666000
NDPK7n_for,666000
NDPK8_for,nan
NDPK8m,950400
NDPK8n_for,950400
NDPK9_for,950400
NDPK9m_for,950400
NDPK9n_for,950400
NH4t3r_for,nan
NH4tn_for,nan
NH4tp_for,nan
NICRNS,nan
NICRNTtn_for,nan
NIFEDIPINEte_for,nan
NKCC2t_for,nan
NKCCt_for,nan
NMNATm,78240
NMNATn,78240
NMNATr_for,nan
NMNS,nan
NMNtn_for,nan
NMPTRCOX,7412846.856576
NNATm,67587.428571
NNATn,67587.428571
NNATr,67587.428571
NNMT,3672
NORANMT,170.28
NOS1,7176
NOS2,8820
NOt_for,nan
NP1,67587.428571
NPTHLte_for,nan
NRPPHRSFt,nan
NRPPHRSULT,143.734909
NRPPHRt4_2_r_for,nan
NRPPHRtu_for,nan
NRPPHRVESSEC,nan
NRVNCCOAtx_for,nan
NRVNCCPT1,3822046.296429
NRVNCCPT2,nan
NRVNCCRNt,nan
NRVNCt_for,nan
NS26T2g,343.2
NS26Tg,343.2
NT5C,323797.015385
NTD1,828
NTD10,323797.015385
NTD11,374400
NTD12,864
NTD1m,828
NTD2,1040400
NTD2e,1040400
NTD2l,1040400
NTD2m,1040400
NTD3,828
NTD3l,828
NTD4,727200
NTD4e,727200
NTD4l,727200
NTD5,144000
NTD5l,144000
NTD5m,144000
NTD6,626400
NTD6l,626400
NTD7,673200
NTD7e,673200
NTD7l,673200
NTD8,34728
NTD8l,34728
NTD9,475200
NTD9e,475200
NTD9l,475200
NTMELYStner,nan
NTP3e,17271
NTPP10,4636.8
NTPP11,3600
NTPP9,3571.2
O16G1e,202165.714286
O16G2e,202165.714286
O2St_for,nan
O2Stm_for,nan
O2Stn_for,nan
O2Stx_for,nan
O2t_for,nan
O2ter_for,nan
O2tm_for,nan
O2tn_for,nan
O2tp_for,nan
OAGD3te_for,nan
OAGD3tg_for,nan
OAGT3te_for,nan
OAGT3tg_for,nan
OBDHc,36283.68
OCBTm,2392045.714286
OCCOAtm,nan
OCCOAtx_for,nan
OCDCAtr_for,nan
OCDCEAtr_for,nan
OCOAT1m,2651400
OCTAt_for,nan
ODECOAtx_for,nan
OIVD1m,2066400
OIVD2m,2066400
OIVD3m,2066400
OMEPRAZOLEte_for,nan
OMPDC,15930
ONPTHLte_for,nan
OPAHir,421.2
ORETNF,nan
ORETNF2,nan
ORETNtn_for,nan
ORETNtn2_for,nan
ORNDC,45199.384615
ORNt3m_for,nan
ORNt4m_for,nan
ORNTArm_for,5239.92
ORNtiDF,nan
ORPT_for,210.6
OXAHCOtex,nan
OXAtp,nan
P45011A1m,20856
P45011B11m,2524.32
P45011B12m,12420
P45011B21m,2524.32
P45017A1r,20856
P45017A2r,20856
P45017A3r,20856
P45017A4r,20856
P45019A1r,23760
P45019A2r,23760
P4501B1r,23760
P45021A1r,20856
P45021A2r,20856
P45027A11m,1830
P45027A12m,164.34
P45027A13m,164.34
P45027A14m,781.2
P45027A15m,164.34
P45027A16m,164.34
P45027A1m,nan
P4502A6,23760
P4502C18,23760
P4502C19,nan
P4502C8,nan
P4502C9,23760
P4502C92,23760
P4502C93,23760
P4502C94,23760
P4502D6,nan
P4502E1,nan
P4502F1,nan
P45039A1r,nan
P4503A4,nan
P4503A43r,nan
P4503A5,nan
P4503A7r,nan
P45046A1r,nan
P4504B1r,23760
P4504F121r,nan
P4504F122r,nan
P4504F123r,nan
P4504F81r,nan
P4507A1r,1143
P4507B11r,nan
P4507B12r,nan
P4508B11r,nan
P4508B13r,nan
P450LTB4r,nan
P450SCC1m_for,nan
P5CDm,422702.709677
P5CRm,3482027.912571
P5CRxm,3707593.626857
PA_HSter_for,nan
PA_HStg_for,nan
PA_HStn_for,nan
PACCOAL,87421.5
PAFH,24628.235294
PAFHe,24628.235294
PAFS,nan
PAFt_for,nan
PAIL_HStn_for,nan
PAIL45P_HStn_for,nan
PAIL4P_HStn_for,nan
PAN4PP,nan
PAPStg_for,nan
PAPtg,nan
PCFLOPm,7412846.856576
PCHOL_HSter_for,nan
PCHOL_HStg_for,nan
PCHOLP_hs,988.2
PCHOLPg_hs,988.2
PCHOLPm_hs,988.2
PCHOLPr_hs,988.2
PCLAD,19512
PCLYSOX,9360
PCm,47523.168
PCREATtmdiffir,nan
PCRNtc,nan
PCRNtm,nan
PCt,nan
PDE1,1620
PDE1g,1620
PDE4,15120
PDE4g,15120
PDE4n,15120
PDHm,8640
PDX5PO,684
PDXPP,nan
PE_HSter_for,nan
PE_HStg_for,nan
PE_HStm_for,nan
PEAMNO,88497
PECGONCOATr,nan
PEFLIP,144465.3
PEFLIPm,7412846.856576
PEPCK,125730
PEPCKm,125730
PEPLYStn_for,nan
PERILLYLte_for,nan
PEROXx,nan
PEt_for,nan
PETHCT,4140
PETOHMm_hs,32101.796571
PETOHMr_hs,32101.796571
PFK,nan
PFK26,95652
PGCD,48600
PGDI_for,9504
PGDIr_for,9504
PGESr_for,128400
PGI_for,1800000
PGISr_for,8820
PGK_for,nan
PGL,461367.969231
PGLer,461367.969231
PGLYCP,68400
PGLYCt_for,68400
PGM_for,4120800
PGMT_for,462106.285714
PGPP_hs,86400
PGPPT,32101.796571
PGS,1388755.472727
PGSr,1388755.472727
PHACCOAGLNAC,88497
PHCDm,92016
PHCHGSm_for,nan
PHEACGLNt_for,nan
PHEMEt,nan
PHEMEtm_for,nan
PHEt4,nan
PHETA1_for,88497
PHETA1m_for,88497
PHEtec_for,nan
PHETHPTOX2,23508
PHYCBOXL,4590
PHYHx,3822046.296429
PHYQt,nan
PHYTt_for,nan
PI345P3P,432
PI345P3Pn,432
PI345P5P,nan
PI345P5Pn,nan
PI34P3Pn,nan
PI34P4Pn,nan
PI34P5K,nan
PI34P5Kn,nan
PI3P3Pn,nan
PI3P4K,456
PI3P4Kn,nan
PI3P5K,456
PI45P3K,456
PI45P3Kn,456
PI45P4P,nan
PI45P5P,456
PI45P5Pn,456
PI45PLC,456
PI45PLCn,456
PI4P3K,456
PI4P3Ker,456
PI4P3Kn,nan
PI4P5K,32101.796571
PI4P5Kn,456
PI4PLC,nan
PI4PLCn,nan
PI4PP,nan
PI5P3K,nan
PI5P3Ker,nan
PI5P4K,456
PI5P4Kn,456
PIACGT,9972
PIK3,456
PIK3er,456
PIK3n,456
PIK4,9972
PIK4n,9972
PIK5,nan
PIK5n,nan
PIPLC,899630.1
PIPLCn,899630.1
PIt2m,nan
PIt7_for,nan
PIter_for,nan
PItg,nan
PItn_for,nan
PItx_for,nan
PLA2,nan
PLA2_2,69562.2
PLA2_2e,69562.2
PLYSPSer,nan
PMANM_for,178848
PMEVKx,12240
PMI12346PH,456
PMI12346PHn,456
PMI1346PH,nan
PMI1346PHn,nan
PMTCOAtx_for,nan
PNP_for,67587.428571
PNTEH,nan
PNTK,nan
PNTKm,3803.76
PNTOt5,nan
PPA,1904250
PPA2,nan
PPA2m,219660
PPAer,1904250
PPAm,1904250
PPAn,1904250
PPAP,955800
PPAt,nan
PPAtm,nan
PPBNGS,57960
PPCDC,10440
PPCOACm,8748
PPCOAOm,673710
PPD2CSPp,nan
PPDOx,6732
PPDOy,6732
PPItr_for,nan
PPItx_for,nan
PPM_for,329760
PPMI12346Ptn_for,nan
PPMI1346Ptn_for,nan
PPNCL3,nan
PPOR,21208.5
PPPG9tm_for,nan
PPPGOm,517.5
PPPItn_for,nan
PRAGSr_for,nan
PRASCS_for,nan
PRDX,160200
PRDXl,160200
PRFGS,nan
PRGNLONESULT,1007.048571
PRGNLONEtm_for,nan
PRGNLONEtr_for,nan
PRGSTRNt_for,nan
PRISTANALtx_for,nan
PRISTCOAtx_for,nan
PRISTtx_for,nan
PRO1xm,nan
PROAKGOX1r,13226.4
PROD2,92016
PROD2m,92016
PRODt2r_for,nan
PRODt2rL_for,nan
PROSTGD2t_for,nan
PROSTGE1t_for,nan
PROSTGE1t3,nan
PROSTGE2t_for,nan
PROSTGE2t2_for,nan
PROSTGE2t3,nan
PROSTGF2t_for,nan
PROSTGH2t_for,nan
PROSTGI2t_for,nan
PROSTGI2tr_for,nan
PROt2r_for,nan
PROt2rL_for,nan
PROt4,nan
PROtm,nan
PRPNCOAHYDm,5058800
PRPNCOAHYDx,5058800
PRPPS_for,nan
PS_HSter_for,nan
PS_HStg_for,nan
PSDm_hs,32101.796571
PSERT,36283.68
PSFLIP,nan
PSFLIPm,nan
PSP_L,727738.2
PSSA1_hs_for,32101.796571
PSSA2_hs_for,32101.796571
PSt3_for,144465.3
PTDCACRNCPT1,3822046.296429
PTDCACRNCPT2,nan
PTDCACRNt,nan
PTDCAt_for,nan
PTE2x,nan
PTE3x,nan
PTE4x,nan
PTE5x,nan
PTHPS,115.2
PTHPSn,115.2
PTPAT,nan
PTRCAT1,3088.8
PTRCOX1,92016
PUNP1_for,288988.227857
PUNP2_for,588342.857143
PUNP3_for,588342.857143
PUNP4_for,588342.857143
PUNP5_for,588342.857143
PUNP6_for,588342.857143
PUNP7_for,288988.227857
PVD3_for,nan
PYAM5POr,702
PYAM5Ptm_for,nan
PYDAMK,nan
PYDAMtr_for,nan
PYDX5Ptm_for,nan
PYDXDH,526813.2
PYDXK,nan
PYDXNK,nan
PYDXNtr_for,nan
PYDXPP,nan
PYDXtr_for,nan
PYK,nan
PYLALDOX,11880
PYLALDOXm,22062.857143
PYNP2r_for,362160
PYRt2m_for,nan
PYRt2p_for,nan
PYRt2r_for,nan
QUILSYN,nan
RADH,nan
RADH2,nan
RADH3,nan
RADH4,nan
RAHY,nan
RAI1_for,72
RAI2_for,72
RAI3_for,nan
RAI4_for,nan
RAtn_for,nan
RAtn3_for,nan
RBFK,nan
RBK,nan
RBK_D,461367.969231
RBTt,nan
RDH1_for,72
RDH1a,72
RDH2_for,72
RDH2a,72
RDH3_for,72
RDH3a,72
RDH4_for,72
RETFA,72
RETFAt,nan
RETFAt1,nan
RETFAt2,nan
RETH,nan
RETH1,nan
RETH1e,nan
RETH2,nan
RETH2e,nan
RETHe,nan
RETI1_for,1.584
RETI2_for,1.584
RETI3_for,1.584
RETNCOA,nan
RETNGLCt,nan
RETNGLCt2,nan
RETNGLCt2r,nan
RETNGLCtr,nan
RETNt_for,nan
RETNtr,nan
RETNtr2,nan
RETt,nan
RIBFLVt3,nan
RIBt_for,nan
RIBt2,nan
RNDR1,288988.227857
RNDR2,288988.227857
RNDR3,288988.227857
RNDR4,288988.227857
RNMK,3312
RPE_for,5497785.257143
RPI_for,10200688.704
RTOT_2,nan
RTOT_3,nan
RTOT1,nan
RTOT2,nan
RTOT3,nan
RTOT4,nan
RTOT5,nan
RTOT6,nan
RTOTAL2CRNCPT1,3822046.296429
RTOTAL2CRNCPT2,nan
RTOTAL2CRNt,nan
RTOTAL2t_for,nan
RTOTAL3CRNCPT1,3822046.296429
RTOTAL3CRNCPT2,nan
RTOTAL3CRNt,nan
RTOTAL3t_for,nan
RTOTALCRNCPT1,3822046.296429
RTOTALCRNCPT2,nan
RTOTALCRNt,nan
RTOTALt_for,nan
Rtotaltl_for,nan
Rtotaltp_for,nan
S23T2g,343.2
S23T3g,4104
S23T4g,343.2
S23Tg,343.2
S26Tg,2520
S2L2FN2M2MASNt,nan
S2L2FN2M2MASNtly,nan
S2L2N2M2MASNtly,nan
S2T1g,nan
S2T2g,nan
S2T3g,nan
S2T4g,nan
S2TASE1ly,7412846.856576
S2TASE2ly,7412846.856576
S2TASE3ly,7412846.856576
S2TASE4ly,7412846.856576
S2TASE5ly,7412846.856576
S3T1g,3664654.56
S3T2g,3664654.56
S3T3g,3664654.56
S3TASE1ly_for,7412846.856576
S3TASE2ly_for,7412846.856576
S3TASE3ly_for,7412846.856576
S4T1g,3664654.56
S4T2g,3664654.56
S4T3g,3664654.56
S4T4g,3664654.56
S4T5g,3664654.56
S4T6g,3664654.56
S4TASE1ly_for,514800
S4TASE2ly_for,514800
S4TASE3ly_for,514800
S4TASE4ly_for,514800
S4TASE5ly_for,514800
S6T10g,nan
S6T11g,nan
S6T12g,nan
S6T13g,nan
S6T14g,nan
S6T15g,nan
S6T16g,nan
S6T17g,nan
S6T18g,nan
S6T19g,3664654.56
S6T1g,nan
S6T20g,3664654.56
S6T21g,3664654.56
S6T22g,3664654.56
S6T23g,3664654.56
S6T24g,3664654.56
S6T25g,nan
S6T2g,nan
S6T3g,nan
S6T4g,nan
S6T5g,nan
S6T6g,nan
S6T7g,nan
S6T8g,nan
S6T9g,nan
S6TASE10ly_for,7412846.856576
S6TASE11ly_for,7412846.856576
S6TASE12ly_for,7412846.856576
S6TASE13ly_for,7412846.856576
S6TASE14ly_for,7412846.856576
S6TASE15ly_for,7412846.856576
S6TASE16ly_for,7412846.856576
S6TASE17ly_for,7412846.856576
S6TASE18ly_for,7412846.856576
S6TASE19ly_for,7412846.856576
S6TASE1ly_for,7412846.856576
S6TASE20ly_for,7412846.856576
S6TASE21ly_for,7412846.856576
S6TASE22ly_for,7412846.856576
S6TASE23ly_for,7412846.856576
S6TASE24ly_for,7412846.856576
S6TASE25ly_for,7412846.856576
S6TASE26ly_for,7412846.856576
S6TASE2ly_for,7412846.856576
S6TASE3ly_for,7412846.856576
S6TASE4ly_for,7412846.856576
S6TASE5ly_for,7412846.856576
S6TASE6ly_for,7412846.856576
S6TASE7ly_for,7412846.856576
S6TASE8ly_for,7412846.856576
S6TASE9ly_for,7412846.856576
SACCD3m,7248
SACCD4m,7248
SADT,46024
SALMCOM,730.8
SALMCOM2,603
SAMHISTA,67800
SARCOXp,117480
SARCStex,nan
SARCStm,nan
SARCStp,nan
SARDHm,618827.510204
SBPP1er,nan
SBPP3er,nan
SBTD_D2,1821600
SBTR,658.8
SCP21x_for,nan
SCP22x_for,nan
SCP2x,nan
SCPx,nan
SEAHCYSHYD,13719105
SEAHCYStn_for,nan
SEASMETtn_for,nan
SELADT,54590.4
SELCYSLY,20618.181818
SELCYSLY2,nan
SELCYSTGL,9571.5
SELCYSTS,24570
SELMETAT,4603.73298
SELNPS,20618.181818
SELt4_3_for,nan
Ser_Thrtg_for,nan
SERALANaEx,nan
SERASNNaEx,nan
SERCYSNaEx,nan
SERDGLNexR_for,nan
SERDGLYexR_for,nan
SERGLNexR_for,nan
SERGLNNaEx,nan
SERGLYexR_for,nan
SERHL,nan
SERLYSNaex,nan
SERPT,293.4
SERt4,nan
SERTHRNaEx,nan
SERtN1_for,nan
SERtp_for,nan
SFGTH,47653.2
SGALSIDEtg_for,nan
SGALSIDEtl_for,nan
SGPL11r,25.2
SGPL12r,25.2
SIAASE,364620
SIAASE2ly,364620
SIAASE3ly,364620
SIAASE4ly,364620
SIAASEly,364620
SIAT4Bg,343.2
SIAT9g,25.2
sink_citr(c),7412846.856576
sink_pre_prot(r)_for,7412846.856576
SLCBK1,nan
SLDt,nan
SLDx_for,1117361.44
SLDxm_for,2845215
SMPD3g,nan
SMPD3l,nan
SMPD4,nan
SMS,nan
SO4CLtex2,nan
SO4HCOtex,nan
SO4OXAtex2,nan
SO4t4_2_for,nan
SO4tl_for,nan
SOAT11,nan
SOAT11r,nan
SOAT12,nan
SOAT12r,nan
SPC_HSt_for,nan
SPH1Pte_for,nan
SPH1Ptr_for,nan
SPHGNtr_for,nan
SPHINGStl_for,nan
SPHINGStr_for,nan
SPHK21c,nan
SPHMDAc,nan
SPHMYLNtg_for,nan
SPHMYLNtl_for,nan
SPHS1Pte_for,nan
SPHS1Ptr_for,nan
SPMDOX,19800
SPMS,618827.510204
SPODM,80280000
SPODMe,80280000
SPODMm,80280000
SPODMn,80280000
SPODMx,80280000
SPR,11656.4
SPRMS,115200
SPRn,11656.4
SPTix,1296
SQLEr,638.64
SQLSr,6684
SR5AR2r,8640
SR5ARr,8640
SRTN23OX,837233.654795
SRTNACT,76200
SRTNMTX,3052.38
SRTNt6_2_r_for,nan
SRTNtu_for,nan
ST3GAL21g,nan
ST3GAL22g,nan
ST3GAL23g,343.2
ST3GAL31g,25.2
ST3GAL61g,nan
ST3GAL62g,nan
ST6GALNAC21,25.2
ST6GALNAC22,25.2
ST6GALNAC23,25.2
ST6GALNAC24,25.2
ST6GALNAC25,25.2
ST6GALNAC26,25.2
ST6GALNAC27,25.2
ST6GALNAC28,25.2
ST6GALNAC31,nan
ST6GALNAC62,nan
ST8SIA11,25.2
ST8SIA12,25.2
ST8SIA51g,25.2
ST8SIA52g,25.2
ST8SIA53g,25.2
ST8SIA54g,25.2
ST8SIA55g,25.2
ST8SIA56g,25.2
STCOAtx_for,nan
STRDNCCPT1,3822046.296429
STRDNCCPT2,nan
STRDNCCRNt,nan
STRDNCt_for,nan
STS1,23328
STS1r,23328
STS2,23328
STS2r,23328
SUCCt2m_for,nan
SUCCt4_2_for,nan
SUCCtp_for,nan
SUCD1m_for,108000
SUCOAS1m_for,108000
SUCOASm_for,138693.6
SUCRe,2129544
SULFOX,nan
T2M26DCOAHLm_for,5058800
T2M26DCOAHLx_for,5058800
T4HCINNMFM,nan
T4HCINNOX,1259481.637895
TAGAT_Dt,nan
TAGt_for,nan
TALA_for,23184
TAURt4_2_r_for,nan
TAURtcx_for,nan
TAXOLte_for,nan
TCHOLAt_for,nan
TCHOLAt2,nan
TCHOLAt3,nan
TCHOLAte_for,nan
TCHOLAtx_for,nan
TCYNTt,nan
TCYNTtm,nan
TDCHOLAte_for,nan
TDCHOLAtx_for,nan
TDP,25705.98
TDPDRE,70299.9
TDPDRR,104400
TDPGDH,14940
TDPm,25705.98
TETHEX3COAtx_for,nan
TETHEX3t_for,nan
TETPENT3COAtx_for,nan
TETPENT3CPT1,3822046.296429
TETPENT3CPT2,nan
TETPENT3CRNt,nan
TETPENT3t_for,nan
TETPENT6COAtx_for,nan
TETPENT6CPT1,3822046.296429
TETPENT6CPT2,nan
TETPENT6CRNt,nan
TETPENT6t_for,nan
TETTET6COAtx_for,nan
TETTET6CPT1,3822046.296429
TETTET6CPT2,nan
TETTET6CRNt,nan
TETTET6t_for,nan
THBPT4ACAMDASE,84600
THCHOLSTOICtm_for,nan
THD1m,147180.06
THFt2_for,nan
THFtl_for,nan
THFtm_for,nan
THMDt4,nan
THMMPt4_for,nan
THMMPtm_for,nan
THMP,nan
THMPPtm,nan
THMt2m,nan
THMt3_for,nan
THMTP,456288
THMTPt,nan
THP2Ctp_for,nan
THRALANaEx,nan
THRASNNaEx,nan
THRCYSNaEx,nan
THRD_L,1033200
THRGLNexR_for,nan
THRGLNNaEx,nan
THRGLYexR_for,nan
THRS,1641689.32
THRSERNaEx,nan
THRt4,nan
THYMDt1,nan
THYMDtl_for,nan
THYMDtm_for,nan
THYMt_for,nan
THYOXt_for,nan
THYOXt2_for,nan
THYPX,160200
TKT1_for,122062.44
TKT2_for,123925.464
TMABADH,7248
TMDK1,nan
TMDK1m,17928
TMDPK,nan
TMDPP_for,565.2
TMDPPK,248.4
TMDS,91998
TMLYSOX,7248
TMLYSter,nan
TMNDNCCOAtx_for,nan
TMNDNCCPT1,3822046.296429
TMNDNCCPT2,nan
TMNDNCCRNt,nan
TMNDNCt_for,nan
TOLBUTAMIDEte_for,nan
TPI_for,1953552
TRDR,31095
TRDR2,31095
TRDR3,1292.4
TRDRm,31095
TREH,463644
TREHe,463644
TRIODTHYSUFt,nan
TRIODTHYSULT,143.734909
TRIODTHYt_for,nan
TRIODTHYt2_for,nan
TRIOK,29240.147368
TRPHYDRO2,13528.2
TRPO2,7902
TRPt_for,nan
TRPt4,nan
TRYPTAOX,10791.6
TS3_for,nan
TSTSTERONEGLCte,nan
TSTSTERONEGLCtr_for,nan
TSTSTERONESte_for,nan
TSTSTERONESULT,1681.2
TSTSTERONEt_for,1681.2
TSTSTERONEtr_for,nan
TSULt4_3_for,nan
TTDCAtr_for,nan
TTDCPT1,3822046.296429
TTDCPT2,nan
TTDCRNt,nan
TXA2te_for,nan
TXA2tr_for,nan
TXASr,96840
TYMSFt,nan
TYMSULT,143.734909
TYR3MO2,5347.44
TYRASE,nan
TYRCBOX,2520
TYRDOPO,133121.115
TYRDOPO3,1867801.5
TYROXDAc,892249.7148
TYRt_for,nan
TYRt4,nan
TYRTA_for,101100
TYRTAm_for,101100
UAG2EMAi,14814
UAG4E_for,108013728
UAGALDP,nan
UAGDP,11826
UDPACGALtl_for,nan
UDPDOLPT_L,4104
UDPDOLPT_U,4104
UDPG1P,nan
UDPG4E_for,123540
UDPGALt2g,1012944
UDPGALtg_for,nan
UDPGD,5760
UDPGLCAter_for,nan
UDPGLCAtg_for,nan
UDPGLCter_for,nan
UDPGLCtg_for,nan
UDPGLDCg,9720
UDPGNP,nan
UDPGP,1899257.142857
UDPtl_for,nan
UDPXYLter_for,nan
UDPXYLtg_for,nan
UGALGTg,31320
UGALNACter_for,nan
UGALNACtg_for,nan
UGCG,25.2
UGLCNACtg_for,nan
UGLT_for,31320
UGT1A10r_for,20856
UGT1A1r,20856
UGT1A2r,20856
UGT1A3r,20856
UGT1A4r,20856
UGT1A5r,72
UGT1A5r2,72
UGT1A6r,20856
UGT1A7r,20856
UGT1A8r,20856
UGT1A9r,20856
UMPK_for,nan
UMPK2_for,399600
UMPK2n_for,399600
UMPK3_for,399600
UMPK3n_for,399600
UMPK4_for,399600
UMPK4n_for,399600
UMPK5_for,399600
UMPK5n_for,399600
UMPK6_for,399600
UMPK6n_for,399600
UMPK7_for,399600
UMPK7n_for,399600
UMPKm_for,nan
UMPKn_for,399600
UMPtr_for,399600
UNK2,nan
UNK3,nan
UPP3S,1110996
UPPDC1,161942.564571
UPPN,51588
URAt_for,nan
URATEt,nan
URATEtx,nan
URCN,nan
UREAt_for,nan
UREAt5_for,nan
UREAtm_for,nan
URIDK2m_for,nan
URIK1,11520
URIt_for,nan
URIt4,nan
Uritl_for,nan
Uritm_for,nan
Uritn_for,nan
UROLACer_for,95400
UTPtn_for,nan
VACCCPT1,3822046.296429
VACCCPT2,nan
VACCCRNt,nan
VACCt_for,nan
VALt4,nan
VALt5m_for,nan
VALTA_for,2223600
VALTAm_for,2223600
VALtec_for,nan
VD3_for,nan
VITD2Hm,nan
VITD2t,nan
VITD2tm_for,nan
VITD3Hm,nan
VITD3t,nan
VITD3t2,nan
VITD3tm,nan
VITD3tm3,nan
VLCS2p,759967.953
VLCS2r,759967.953
VLCSp,759967.953
VLCSr,759967.953
WHDDCAte_for,nan
WHHDCAte_for,nan
WHTSTSTERONEte_for,nan
WHTTDCAte_for,nan
XANDp,588342.857143
XANtx,nan
XAO2x,588342.857143
XAOx,588342.857143
XOL27OHtm_for,nan
XOL7AH2tm_for,nan
XOL7AH2tr_for,nan
XOL7AONEtr_for,nan
XOLDIOLONEt_for,nan
XOLDIOLONEtm_for,nan
XOLEST2te_for,nan
XOLESTte_for,nan
XOLTRI24tc_for,nan
XOLTRI24te_for,nan
XOLTRI25tc_for,nan
XOLTRI25te_for,nan
XOLTRI27tc_for,nan
XOLTRI27te_for,nan
XOLTRIOLtm_for,nan
XOLTRIOLtr_for,nan
XSERtg,nan
XYLK,126000
XYLt_for,nan
XYLTD_Dr_for,2166336
XYLTer,130.68
XYLtly,nan
XYLTt_for,nan
XYLUR_for,3870
YVITEt,nan
EX_4abutn(e)_for,nan
EX_acmana(e)_for,nan
EX_ahdt(e)_for,nan
EX_ctp(e)_for,nan
EX_dgmp(e)_for,nan
EX_dgtp(e)_for,nan
EX_dha(e)_for,nan
EX_dhap(e)_for,nan
EX_dtmp(e)_for,nan
EX_dttp(e)_for,nan
EX_fad(e)_for,nan
EX_fald(e)_for,nan
EX_g1p(e)_for,nan
EX_HC00229(e)_for,nan
EX_HC00250(e)_for,nan
EX_HC01104(e)_for,nan
EX_HC01361(e)_for,nan
EX_HC01440(e)_for,nan
EX_HC01441(e)_for,nan
EX_HC01444(e)_for,nan
EX_HC01446(e)_for,nan
EX_HC01577(e)_for,nan
EX_HC01609(e)_for,nan
EX_HC01610(e)_for,nan
EX_HC01700(e)_for,nan
EX_HC02160(e)_for,nan
EX_HC02161(e)_for,nan
EX_itp(e)_for,nan
EX_orot(e)_for,nan
EX_prpp(e)_for,nan
EX_ptrc(e)_for,nan
EX_pydx5p(e)_for,nan
EX_spmd(e)_for,nan
EX_udpg(e)_for,nan
r0001,nan
r0002_for,nan
r0009,1904250
r0010,1107021176.47059
r0013,3362400
r0016_for,7412846.856576
r0021_for,212486
r0022_for,212486
r0023,2638.8
r0024,109804.8
r0027_for,59300.1
r0028,2052000
r0033,139.32
r0034,20628
r0047,673200
r0051_for,13582.8
r0055_for,947585.215385
r0060,855889.8
r0062,26136
r0068,281808
r0074_for,618827.510204
r0081_for,117997.714286
r0082,149577.964615
r0083,149577.964615
r0084,149577.964615
r0085,127575
r0086,127575
r0093,302400
r0097,3229527.272727
r0113,14814
r0119,149040
r0120,72.18
r0121,72.18
r0122,2466165.6
r0127,103729.480851
r0129_for,10548
r0130_for,10548
r0139_for,2052000
r0142,85264.615385
r0145_for,7176
r0149_for,2052000
r0153,2466165.6
r0156,618827.510204
r0157,618827.510204
r0160,439200
r0163,7412846.856576
r0165,2466165.6
r0166,2520
r0170_for,6684
r0173_for,109320
r0178_for,114120
r0179,107964
r0181_for,2052000
r0186,32101.796571
r0191,178214.4
r0193_for,1926
r0196_for,646
r0202_for,149400
r0205,119880
r0208_for,37080
r0210,24570
r0220,54480
r0221,54480
r0224,71397
r0226,93837.6
r0233,7412846.856576
r0236,346915.2
r0239_for,579600
r0242_for,604800
r0245_for,205920
r0246,205920
r0249_for,10200688.704
r0265,31320
r0267_for,7412846.856576
r0268_for,7412846.856576
r0276_for,1008
r0280,2466165.6
r0281_for,1117361.44
r0283,19800
r0287,3822046.296429
r0295,52524
r0301,759967.953
r0308,3822046.296429
r0309_for,3822046.296429
r0310,3822046.296429
r0311,104.4
r0317_for,7412846.856576
r0318,nan
r0319,nan
r0321,638.64
r0330,346915.2
r0331,346915.2
r0339,990000
r0340,990000
r0345_for,288988.227857
r0354,185968.8
r0355,185968.8
