Gene ID	UniProt Accession	
1809	A0A140VK07; Q8IXW6; Q6DEN2; Q14195; B3SXQ8; Q93012	
1811	P40879	
1836	Q6N051; A8K2U3; P50443; B2R6J1	
1841	Q53F55; B7ZW70; Q6FGU2; Q6FGX1; Q9BUX4; P23919	
1854	B4DPR5; O14785; Q96Q81; A0A0C4DGL3; P33316; Q6FHN1; H0YNW5; Q16708; Q16860; Q6NSA3; A8K650	
189	P21549; Q53QU6	
1890	P19971; A8MW15; Q8WVB7; Q13390; H9KVA0; B2RBL3; E5KRG5	
1891	Q96EZ9; Q13011; A8K745; Q8WVX0	
1892	P30084; O00739; Q5VWY1; Q96H54	
19	Q9UN07; Q96S56; Q96T85; B7XCW9; O95477; Q5VX33; Q9UN08; Q9NQV4; Q9UN09; B2RUU2; Q9UN06	
191	E1P5P2; F5H737; B3KUN3; Q96A36; P23526; A8K307	
192134	Q8TAZ4; Q8TDX1; Q6ZSC5; A8K9Q8; Q6ZMB0; E9PKS1	
195814	Q330K3; B4DGK2; Q8N3Y7; Q96LX1; G3V145; B3KT84; Q8TDV9	
1962	Q2M3N4; Q58EZ5; B3KPW9; Q9NY65; B4DWG3; B2RCX2; Q08426; A8K6Y3; D3DNU0	
196743	Q6QHG3; Q6QHG4; Q6QHF6; Q6QHG0; Q6QHG1; Q6QHG2; Q6QHF7; Q6QHF5; Q6QHF8; Q86WP9; Q6QHF9; Q6QHG6; Q8N555; Q6QHG5; D3DXI6; Q8NCX3; Q5VWY0	
196883	Q6ZTM6; Q8NFM4; B3KV74; Q17R40; Q96ML7; D3DS75; Q86TZ7	
197257	Q8IZK5; Q86WU2	
197258	Q5XKL6; Q8N0W3; Q96MT9; Q5PSM3; Q6ZRA0	
199974	Q5VVE4; Q86W10	
200010	B3KY87; Q2M3M2; E9PJ08; B7ZL45; E9PAK4; Q5TET3; B7ZL47	
200576	Q9Y2I7; Q53T36; Q08AR8; Q8N5H0; Q08AR7; Q53ST3; Q8NB67	
201288	-	
2023	Q9UCH6; Q9UM55; P22712; Q4TUS4; Q53FT9; Q658M5; Q71V37; Q7Z3V6; Q53HR3; Q8WU71; P06733; B2RD59; Q16704; Q96GV1; Q9BT62; E2DRY6; Q6GMP2; A0A024R4F1	
2026	P09104; B7Z2X9; Q96J33; Q6FHV6	
2027	D3DTL2; E7ENK8; Q96AE2; P13929; B4DUI6; B4DUM6	
203	Q9UQC7; Q5T9B7; P00568; Q9BVK9; Q6FGX9	
2030	B3KQY5; Q5T9W9; Q99808; B3KQV7; Q9UJY2	
204	B4DL64; Q8TCY2; Q16856; Q8TCY3; G3V213; Q5EB54; Q5TIF7; A8K6L1; F8W1A4; P54819; B4DHH7; F8VY04; A0A140VK93	
205	B2R927; Q6IBH4; Q8IUU9; Q6NXQ5; P27144; D3DQ62	
2052	Q9NQV1; Q9NQU8; Q9NPE7; P07099; Q9NQU7; Q9NQV0; R4SBI6; Q5VTJ6; Q9NP75; Q9NQU6; Q9NQU9; B2R8N0; Q9NQV2	
2053	P34913; J3KPH7; G3V134; B3KUA0; Q16764; Q9HBJ1; B2Z3B1; Q9HBJ2; B3KTU8	
206358	Q7Z2H8; Q96M74; Q86YK4; C9JI34; Q1LZ56; Q7Z7C0	
2098	Q5TBV0; P10768; Q5TBV2; A0A140VJJ2; Q9BVJ2; Q5TBU8; X6RA14	
210	A0A024R877; P13716; Q16870; A0A140VJL9; Q6ZMU0; Q16871; B2R6F2; Q9BVQ9; A8K375; B7Z3I9	
2108	A0A0S2Z3L0; B4DT43; Q53XN3; P13804	
2109	Q6IBH7; Q71RF6; P38117; A8K766; B3KNY2; Q9Y3S7	
211	P13196; B4DVA0; Q5JAM2	
2110	Q16134; J3KND9; B4E3R9; B4DEQ0; Q7Z347	
212	Q13735; P22557; A8K3F0; Q5JZF5; Q8N6H3; A8K6C4	
213	Q9UJZ0; Q9P157; Q86YG0; Q8IUK7; P02768; E7ESS9; Q68DN5; Q6UXK4; Q9P1I7; Q9UHS3; O95574; Q13140; P04277; Q645G4	
2131	Q16394; B2R7V2; Q9BVI9	
2132	O15288; D3DR24; B2R5Z6; J3KPT2; Q93063; C9JU51	
2134	Q6GSC1; Q92935	
2135	Q9UBQ6; D3DT60; F5GZK1; Q8N8F1; B2R795	
2137	O43909; D3DST8; Q53XT3; O00225	
2147	P00734; B2R7F7; Q69EZ7; B4E1A7; Q9UCA1; Q53H04; Q7Z7P3; Q4QZ40; Q53H06	
215	P33897; Q6GTZ2	
216	Q5SYR1; O00768; V9HW83; P00352	
2168	Q6FGL7; Q05CP7; P07148	
217	B4DW54; P05091; Q6IV71; E7EUE5; Q03639; Q6IB13	
218	P30838; Q9BT37; Q6PKA6; A8K828; I3L3I9	
2180	D3DP57; P33121; Q8TA99; Q8N8V7; E7EPM6; B7Z3Z9; E7EQJ5; B4E0R0; A8K9T3; B7Z452; P41215	
2181	Q60I92; Q8IUM9; O95573; A0A024R497; B3KMA6	
2182	O60848; O60849; D3DUY2; Q8TAF6; O60488; Q5JWV8	
2184	P16930; B2R9X1; D3DW95; Q53XA7	
219	P30837; B2R8F0; Q9BV45; Q8WX76	
2194	Q13479; Q6P4U5; Q6SS02; Q96IT0; Q16702; P49327; Q4LE83; Q969R1; Q96C68	
220	A0A024RC95; H0Y2X5; P47895; Q6NT64; Q7Z3A2	
2203	O75571; Q2TU34; Q53F94; Q96E46; P09467	
221	A0A087X2D4; Q8N515; A0A024R5D8; P43353; A3FMP9; Q53XL5; A0A024R5K0; Q96CK8	
221823	P21108; Q6P5P6	
222	P48448; Q96IB2; Q53Y98; Q8NAL5	
2222	P37268; B7Z1J3; B7Z9R8; B4DND3; Q6IAX1; B4DJE5; B4DT56; B4DWP0; B3KQ95; Q96GT0	
2224	A0A087X090; P14324; E9PCI9; Q96G29; D3DV91	
222537	Q8N285; A8K1J2; Q8IZT8; Q52LI2	
223	Q5VV90; P49189; Q6LCL1; B2R6X1; Q9NZT7; B4DXY7; B9EKV4	
2235	Q7KZA3; Q8IXN1; A8KA72; Q8NAN0; P22830	
224	P51648; Q6I9T3; Q96J37; Q93011	
2243	Q4QQH7; P02671; D3DP15; Q9BX62; A8K3E4; Q9UCH2; D3DP14	
225	Q9UBJ2; Q2M3H9; B2RAM3; Q13210	
226	Q6FH76; Q9BWD9; B4DXI7; V9HWN7; P04075; Q96B15; Q6FI10; Q9UCN2	
2271	A0A0S2Z4C3; B1ANK7; P07954	
22856	Q86X52; Q7LFU5; Q6UX38; Q9Y2J5	
229	Q13741; Q13742; Q5T7D6; P05062; A0A024R145	
22928	Q9BUQ2; Q99611	
22929	Q9BVT4; D6PSQ9; B4DWK0; P49903; Q5T5U8; D3DRS9; Q5T5U9	
22934	Q541P9; P49247; Q96BJ6	
22978	Q5JUV5; A8K6K2; B7Z382; P49902; D3DR91	
230	Q6FH94; B2R5R3; Q6P0L5; Q3SYL3; P09972; A0A024QZ64	
23007	Q68CN0; Q29RV9; Q9H9U2; Q4KWH8; Q4KWH9; Q9UPT3; Q86XK4	
23057	O75067; Q5T1Q3; Q9BZQ4; Q96QW1; Q8WU99	
231	Q5U031; P15121; B2R8N3; Q9BS21; Q6FGA4; Q6ICP2; A0A024R7A8; Q9UCI9	
23169	Q52LU5; B7Z3X2; Q92548; Q9NTN3; A8K185	
23205	B3KNS7; B7Z2Y6; Q96GR2; B2RB61; Q76N27; Q9HC26; O75126	
23236	Q5TFF7; Q9NQH9; Q8IV93; Q9NQ65; Q9BQW2; O60325; Q17RQ6; Q9H8H5; D3DW12; Q9UJP6; Q5TGC9; Q9H4H2; Q9NQ66; Q9NTH4; D3DW13; Q9UM26	
2326	Q01740; A8K248; B7Z3P4; Q5QPT2; Q9UJC2; B2RCG5; A0A024R934	
2327	B4E2Q9; Q86U73; Q9BRX1; Q5JPC7; Q99518; Q5EBX4	
2328	B2R816; B7Z3M2; Q53FW5; A0A024R8Z4; P31513; Q14854; Q8N5N5; B7Z543	
2329	P31512; Q53XR0	
2330	P49326; C9JJD1; Q8IV22; A0A024QYY6; B2RBG1	
23305	B2RB13; Q9UKU0; O94924; Q108N0; B4DFW3; Q4G191; J3KPG3; O95829; Q108M9; Q86TN7	
23315	Q9BX15; Q9Y507; Q9Y2E8; Q68CZ8; B4DTQ8; Q2M1U9; B4DIX7	
23382	O94917; Q96HN2; D9N155; B4DIZ5	
23396	B7Z9E7; Q7LE07; O60331; C6GIJ8; C6GIJ7	
23417	O95822; Q9UNU5; Q9Y3F2	
23428	F2Z2J4; B2R8Q4; Q9Y445; B4DTV6; Q9UHI5; D3DS46; B4DKT4; Q9UKQ8; Q53EM9; Q9UKQ6; Q9UKQ7; Q86U05	
23430	Q9UQI8; Q96L36; O95824; Q9H2Y6; Q9BZJ3; Q96RZ5; Q8TDI6	
23439	Q9UN42; Q9UN41; Q17RR0	
23443	Q9BSB7; D3DT54; Q9Y2D2; Q68CR2; A8K3F8	
23464	Q96CA9; Q6ZWF1; A8K228; E2QC23; O75600	
23475	B4DDH4; V9HWJ5; Q96G22; Q15274; Q9BSG6; Q53XW7	
23478	B4DUL4; O75957; P21378; Q53FQ8; B2RAD7; H0YK72; A0A024RC78; P67812; H0YKT4; H0YK83	
2348	Q6FGT8; A0A024R5H1; P15328; Q9UCT2; Q53EW2; Q6LC90	
23483	O95455; Q9H1T9; Q05DQ3; Q2TU31; Q5T3Z2	
23498	Q53QZ7; Q8N6N9; P46952; A6NE56; B4DIN2	
2350	P14207; Q6GTE8; Q05CA5	
2352	A0A087WXL1; J3KQ90; P41439; Q05C14	
23530	Q8N3V4; Q13423; E9PCX7; Q16796; Q2TB60; A0A024R0C3	
23533	Q8WYR1; L7RT34; J3KSW1; D3DTS3; Q5G936; B0LPH4; Q8IZ23; Q5G939; Q5G938; Q9Y2Y2	
23539	Q9UBE2; O95907	
23545	A8K026; Q6NUM0; Q9Y487	
23556	Q7L8F8; O95427; Q9NT05; Q8TC01; A0A024R2C3	
2356	Q5JU22; Q5JU19; Q6P2P6; F5H0K6; Q05932; B3KPW4; B7Z2Z3	
23563	Q7LCN3; B2RV23; Q9GZS9; Q9UBY3	
23600	F8W9N1; Q3KT79; Q96GH1; Q9UHK6; A5YM47; B8Y916; O43673; B8Y918; Q9Y3Q1	
23632	Q8NCF4; Q5TB24; Q9ULX7; A8K3J4	
23657	Q9UPY5; A8K2U4	
23743	B7Z516; Q9H2M3; Q9NXX7; A0A024RAQ0	
23761	Q96GQ2; O95535; Q6IC28; Q9UGA9; A0A024R1K5; Q9UG56; B1AKM7; O43207	
239	P18054; Q6ISF8; Q9UQM4; O95569	
240	P09917; E5FPY8; Q5JQ14; B7ZLS0; E5FPY7; E5FPY5	
242	O75342	
245972	Q8N8Y2; A0A024R991	
245973	A0A0U1RR16; Q96EL8; Q8NEY4	
246	A8K2P4; P16050; B7ZA11; Q8N6R7; Q99657	
246213	Q8NDX2; B3KXZ6; B7ZKV4; Q17RQ8	
247	Q8TEV5; Q8TEV3; Q8TEV4; D3DTR2; Q8TEV6; Q9UKM4; Q8IYQ2; O15296	
248	Q53S80; B2R7Y4; Q9UCL2; P09923; Q9UBV5; A0A024R4A2	
249	B7Z387; O75090; P05186; A1A4E7; B2RMP8; Q5BKZ5; Q6NZI8; Q59EJ7; Q5VTG5; Q8WU32; Q9UBK0; B7Z4Y6; Q2TAI7; A0A024RAG0	
2495	P02794; B3KNR5; Q3SWW1; A0A024R525; Q3KRA8	
250	B2R7C7; Q53S78; Q96DB7; P05187; P06861; P05188	
251	A8KAF2; Q16727; Q96CM1; Q53S81; P10696	
2512	Q8WU07; Q96CU0; P02792; B2R4B9; Q9BTZ8; Q6IBT7; Q86WI9; Q7Z2W1; Q96AU9	
2517	Q8NAC2; B5MDC5; B7Z717; B2RBG3; Q14335; P04066; Q14334; Q3LID0	
2519	E9PEB6; Q7Z6Y2; Q9BTY2; Q7Z6V1; Q8NBK4	
2523	O14507; P19526; O14505; Q6IZA2; O14506	
2525	B5U7U9; Q99448; Q99449; B5U7V0; P21217; Q32NE7; A8K737	
2530	G3V5N0; Q546E0; O00235; Q8IUA5; Q9BYC5; Q9BYC6; Q9P2U5; Q9P2U6; B4DFS7; A8K8P8	
2531	B2R5Y1; A0A024R292; B4DMX0; Q06136	
253430	Q8NFU5	
2538	B4E1C3; A1L4C0; K7EL82; P35575	
2539	Q8IU88; D3DWX9; Q96PQ2; Q16000; Q8IU70; P11413; Q8IUA6; Q16765	
2542	O96016; Q5J7V4; B4DUH2; Q9UNS4; A0A024R3H9; Q9UI19; A0A024R3L1; A8K0S7; O43826	
2548	Q09GN4; P10253; Q16302; Q14351; Q8IWE7	
256435	Q8N259; Q8NDV1; Q6PCE0; Q6UX29	
257068	Q96N12; Q0VAA5	
2571	Q49AK1; A0A0S2Z3V5; Q99259; Q9BU91; Q8IVA8; Q53TQ7; Q9UHH4	
2572	Q5VZ30; Q05329; Q9UD87	
257202	Q4PJ17; P59796	
25769	B7ZLL8; Q9UI40; Q9NZQ4; Q9NTN5	
25796	A0A0K0K1K7; O95336	
2581	B4DKE8; A0A0A0MS42; J3KPP8; B4DYN1; B4DZJ8; E7EPA4; B7Z7Z2; J3KN25; P54803; Q8J030; A0A0A0MQV0	
2582	A0A024RAH5; B3KQ39; Q14376; Q86W41; Q9UJB4; Q9BVE3; Q38G75	
25828	Q99757; Q9UH29; Q5JZA0; Q6FH60; B4DX69	
2583	Q00973; B4DE26; B4DSP5; Q8N636	
25830	B2R7N3; O43728; Q9BR01; B7Z2E1	
2584	P51570; V9HWE7; B2RC07; B4E1G6	
2585	Q01415; B4DW43; Q7Z4Q4; B7ZAX5	
2588	P34059; Q6YL38; Q96I49; Q86VK3	
2589	Q86TJ7; Q10472; A0A024RC48; Q9UM86; Q05BM8	
2590	A8K1Y3; C5HU00; G3V1S6; B7Z8V8; Q9NPY4; Q10471; B7Z6K2	
25902	Q9H789; Q2TBF3; B7ZM99; Q8WVW0; A0A087WVM4; Q9UFU8; Q96HG8; B2RD24; Q6UB35	
2591	Q7Z476; Q53TG9; Q14435	
2592	B2RAT6; E7ET32; Q14380; Q14363; Q14364; Q14374; Q14377; Q14386; Q5VZ81; Q14369; Q14382; Q14384; Q14387; Q14356; Q14361; B4E097; Q14371; Q14378; Q14355; Q14389; Q14357; Q14359; Q14372; Q14383; P07902; Q14375; Q14381; Q53XK1; Q14360; Q14365; Q14370; Q14373; Q14385; Q16766; Q14358; A0A0S2Z3Y7; Q96BY1	
259230	Q86VZ5; E6ZCI6; Q68U43; Q75SP1; Q6EKK0; D3DWC4	
2593	Q8WVJ1; Q14353; V9HWB2; A8K0A0; Q53Y34	
2595	Q8IZM5; E7EWB6; Q8IWZ0; Q8TET4; B4DWC5; Q52LQ4; H3BN99; Q8IZM4	
2597	P04406; V9HVZ4; Q53X65; E7EUT4; P00354	
26	Q16683; P19801; C9J690; Q56II4; Q6GU42; Q16684	
26002	Q9H4M6; Q8WV49; Q6UVY6; Q9Y4U3; Q5THU6; Q8NC97	
260293	G3V1U1; Q8NAZ3; Q5VVE5; Q6ZN67; Q8N118	
26035	O94923; Q6GUQ2	
26061	Q9BV42; Q9P0A2; B4DXI5; Q9UJ83; B4DXR1; E9PEN4; B4DWI1	
26062	-	
26063	Q6ZRS7; Q96ET0; Q9NUI1	
2618	A8K945; P22102; A8KA32; D3DSF4; O14659; D3DSF3; Q52M77; Q59HH3	
262	Q6N0B2; E1P5F7; B4DTR6; B4DZ60; Q9BWK4; Q5VXN5; Q5VXN4; Q5VXN6; P17707; A6NNH3; A0A088AWN0	
26227	Q9BQ01; Q5SZU3; B2RD08; O43175	
26229	Q5U676; O94766; Q9UEP0; G3V150; Q96I06; B7ZAB3	
26266	A4D1Q4; Q8N631; Q59HF0; Q9UKG4	
26275	Q53GA8; A0A140VJL0; Q92931; D3DPI4; Q53GF2; Q53TC6; Q6NVY1; Q9BS94; Q53RF7	
26279	A0A087WZT4; Q9UNK4; Q9UK01; A8K2Z1; B1AEL9	
2628	A0A140VK19; Q53EQ4; P50440; B4DH99; B4DPI3	
26289	Q7Z4T5; Q8N464; Q86YS0; Q96EC9; Q5U622; Q6FH66; Q9Y6K8	
2629	Q6I9R6; B7Z5G2; J3KQG4; B7Z6S9; A8K796; J3KQK9; Q16545; P04062; A0A068F658; A0A0G2JLB3; B7Z6S1; Q4VX22; Q9UMJ8	
26290	B2RU02; Q9NY28	
26301	Q8N2K4; J7Q0Z1; Q5T7V1; B7Z8S5; Q9UKI5; Q8N5D6; Q5T7U9; A8K633; B2RA95; Q45F07	
2632	Q59ET0; B3KWV3; Q96EN0; Q04446	
26330	A0A0K0K1K1; O14556; Q9HCU6; Q6JTT9; B2RC82; O60823	
2638	Q16309; P02774; Q53F31; Q16310; D6RAK8; Q6GTG1; B4DPP2	
2639	A8K2Z2; Q92947; A0A024R7F9; O14719	
2643	P30793; A0A024R642; Q6FHY7; Q8IZH9; Q9Y4I8	
2645	P35557; Q53Y25; Q05810; A4D2J2; A4D2J3	
2650	Q6DJZ4; Q86T81; Q02742	
26503	Q9UGH0; Q5SZ76; Q9NRA2; Q8NBR5	
2651	Q6T5E5; Q5W0E9; Q8NFS9; Q5T4J1; Q8N0V5; Q06430	
2653	P23434; Q9H1E9	
266722	Q5W0L0; Q8IZP7; Q68CW6	
267020	Q7Z4Y8	
2673	Q06210; Q9BXF8; Q53QE6	
2678	Q8TBS1; P19440; Q14404; Q08247; Q9UMK1; A0A140VJJ9	
2679	-	
2683	B2R710; W6MEN3; P15291; D3DRL2; Q14509; Q12909; Q12911; Q14456; Q12910; Q14523	
2686	Q9BYP6; Q8N899; Q8NF66; A0PJJ9; Q9UJ14; Q9BYP5	
2687	P36269; Q53XM9; Q9UFM5; B4DEL3; Q6GMP0; Q96FC1	
26873	O14841; A5PKY8; Q75W65; Q9Y4Q0	
2694	B4DVZ1; P27352; B2RAN8	
270	Q5TF02; P23109; F2Z3B3; A8K5N4; B2RAM1; Q5TF00	
27010	F5GZG6; I6L9B8; D3DWG0; Q9H602; Q9H3S4; Q6ZQX6; A8K0T7; Q6NUR5; A0A090N8Y0	
27034	Q6ZWP6; Q9BUS8; Q9UKU7; B7Z5W4	
27068	Q96E55; Q9NX37; Q6PG51; Q9ULX0; Q8TBW0; Q4W5E9; Q9H0T0; B4DLP7; Q9P033; F8WDN9; Q9H2U2; I6L9B6	
27087	Q96FS7; Q9P2W7	
27089	Q9T2V7; O14949; Q5FVE2; Q9BV88	
271	Q5T693; Q5T695; Q9UDX9; Q16687; Q96IA1; Q14856; B4DK50; Q9UMU4; B4DZI5; E9PNG0; Q01433; Q9UDX8; B2RB47; Q16686; A0A024R098; Q14857; Q16688; Q16729	
2710	B2R833; Q9UMP1; A6NJP5; Q6IQ27; P32189; Q8IVR5; Q9UMP0; B4DH54	
27109	D9N156; Q8WWX3; A8K1U3; Q99766; Q96F77	
27115	Q9NP56; Q5W154; A1E5M1	
2712	Q14410; A8K876; Q6PD73; A0A140VKG0; Q86XV8	
27124	B4DF95; Q6ZTH6; Q8N902; A0A087WVS7; Q15735; Q32M61; B3KS54; Q9UDT9	
2713	-	
27159	A8K3T7; Q9BZP6; Q9ULY3; Q32W80; Q3B866; Q5VUV4; Q1M0P3; Q2VT96; Q5U5Z5; Q32W79; Q86UD8; Q9ULY4; Q1M0P4	
27165	A0A087X004; Q8IX91; Q9UI32; Q9UI31; B7Z8Q9; Q9NYY2	
2717	Q53Y83; Q6LER7; P06280	
272	B7Z2S2; Q01432; A0AUX0; B7Z877; B7Z763	
2720	B7Z6Q5; B2R7H8; P16279; B7Z6B0; P16278	
27232	Q9NNZ1; A0A0S2Z5F2; V9HW60; Q5T8W2; Q9NS24; Q14749	
27235	Q1JQ78; Q684R2; O95331; Q96H96	
2729	Q14399; P48506; Q14TF0; E1CEI4	
2730	Q9NPX9; M5A959; Q9NU74; P48507; D3DT45; A8K334; Q6FHC1	
27306	O60760; Q6FHT9	
2731	Q2M2F8; P23378	
27349	Q8IVS2; B0QY72; O95511; O95510	
2739	B4DDV0; Q59EL0; Q04760; P78375; B2R6P7; Q5TZW3; Q96FC0; Q96J41; X5DNM4	
27430	Q9NZL9; B2R5Y6; Q3LIE8; Q9BS89; A0A140VJP2; Q27J92; Q9UJ54; Q1WAI7; Q567T7; Q6NYC7; Q9H3E1	
2744	Q68D38; Q9UL06; Q9UL07; O94925; Q9UL05; Q9UN40	
2745	B2R4L2; Q3KQS1; Q6ICT1; P35754; A0A024RAM2	
2746	B3KV55; Q5TBU3; P00367; E9KL48; B4DGN5	
2747	B2R8G0; A0A140VK14; Q9UDQ4; P49448	
275	A8K3I5; E9PBG1; B4DJQ0; A0A024R2U7; P48728; B4DE61; Q96IG6	
2752	P15104; Q7Z3W4; A8YXX4; Q499Y9; Q5T9Z1; Q8IZ17	
276	A6NJS5; Q6NSB3; Q13763; P04745; Q5T083; A8K8H6	
2762	Q5T954; Q9UGZ3; E9PI88; Q6FH09; O60547; O75357; Q9UJK9	
2766	P36959; Q96HQ6	
277	A6NJS5; A8K8H6; Q5T083; P04745; Q13763	
278	A6NJS5; A8K8H6; P04745; Q13763; Q5T083	
279	P04746; Q9UBH3; B9EJG1; Q53F26	
2799	A0A024RBC5; B4DYH8; Q7Z3X3; Q53F05; P15586	
28	Q9NY01; Q6KFZ2; Q70V27; A0A089QDC1; Q6ISD4; Q9UQ69; O14758; Q99484; Q99485; B0JDB9; P16442; Q9UQ68; Q14490; Q53I57	
280	B3KXB7; D3DT76; P19961; Q9UBH3; B3KTI1	
2805	B2R6R7; P17174; A0A140VK69; B7Z7E9; Q5VW80	
2806	E7ERW2; Q53FL3; P00505; B4DJA6; Q9BWA3	
2819	A0A024R138; Q8N1B0; F8W1L5; P21695	
2820	B3KSA9; A8K4V0; Q53T76; P43304; Q59FR1; Q9HAP9	
2821	B4DE36; P06744; B4DG39; Q9BRD3; Q9UHE6; Q9BSK5	
28231	Q9UI35; Q9UIG7; Q9H4T8; Q96BD0; Q9H8P2; Q9H4T7; Q9NWX8	
28232	B3KPY5; C6G486; A8K4A7; B3KUR7; Q9GZV2; Q9BW73; Q9UIG8	
28234	Q9NPD5; E7EMT8; B3KP78; Q5JAR4	
283871	A6NDG6	
284098	Q8N9G3; Q7Z7B1	
284111	F8W7N2; Q6ZMG1; Q86YT5; B3KXR0; Q68D44; B7Z4P2; B7ZLB4	
284129	Q86YX7; B2RCI7; Q8N2I1; Q8NG03; Q86WA9; Q86VX1; Q8IV11	
284273	A8KA15; B4DZ91; Q8N4Q0; Q4G1C4	
286016	-	
286297	-	
2875	P24298; P78398; B0YJ18; D3DWM7; Q93076	
2876	E9PAS1; Q7Z5H1; Q7L4Q3; P07203; Q9BW12	
2877	P18283; Q6PJ52; Q8WWI7; Q9NRP9	
2878	O43787; Q9NZ74; Q9UEL1; Q86W78; P22352	
2879	Q6PJ59; Q9UPK2; O43381; P36969; Q6PI42	
2880	O75715; A1A4Y0; V9HWN8	
2882	O95337; Q96SL4; Q5T501	
28965	Q6IAM5; Q86YF6; B2R8P6; Q9Y2P4; Q7Z6E6	
28972	B3KNF8; Q9Y6A9; X6R2S6; Q9BVW1	
28976	Q9H9W4; Q9H845; D3DNB8; Q8WXX3	
28982	Q9Y5Y0; Q1HE16; Q9NVR9; B2RB38; Q86XY9	
290	A0A024RC61; Q59E93; Q8IVH3; P15144; Q16728; Q8IUK3; Q9UCE0; Q6GT90	
291	P12235; D3DP59; A0A0S2Z3H3	
29124	C5HZ15; Q9UHV8	
292	Q6NVC0; P05141; O43350; B2RCV1	
293	Q96C49; P12236; Q6I9V5	
2936	C8KIL9; C8KIL8; C8KIM0; D3DSV3; V9HW90; P00390; Q7Z5C9; Q9NP63	
2937	B6F210; E1P5P9; Q4TTD9; V9HWJ1; B2R697; P48637	
2944	P09488; Q5GHG0; X5D932; Q9UC96; X5DR03; Q8TC98; Q6FH88	
2954	A0A0C4DFM0; A6NED0; Q7Z610; B2RCK3; A8MWD7; O75430; O15308; Q6IB17; A6NNB8; Q9BV63; A0A0A0MR33; O43708	
2974	-	
2977	B7ZLT5; P33402; A1L4C4	
2978	B3KWT4; B2R9P6; Q9NU14; P43080; Q7Z6T1	
29785	Q9BZ66; Q96SQ9	
29796	Q9UDW1; Q9T2V6; B5MCM5	
2982	Q02108; O43843; B3KU69; D6RDW3; Q8TAH3; D3DP19	
2983	B7Z426; B7Z6G8; B7Z9H9; E9PCN2; Q02153; D6RC99; Q86WY5; B7Z685	
2984	B2RMY6; P25092	
2986	P51841; Q9UJF1	
2987	Q6IBG8; B1ANH1; A0A024R3U5; Q16774	
29880	Q9Y673; Q5TBA6; B4DR67; B4DR37	
29881	A0A0C4DFX6; Q9UHC9; B7ZLE6; A4D2J7; Q6R3Q4; Q9UHC8; Q17RV5; D3DVK9	
2990	Q549U0; E9PCV0; P08236; B4E1F6; Q96CL9	
29906	B7Z5F7; O15466; Q6IAW7; F5H8D1; B7Z1K9	
2992	D3DNH0; D3DNH1; Q9UNV0; Q6FHZ1; P46976; D3DNH2	
29920	A0A0S2Z5U6; Q96C36; A8K798; Q9Y5J4; A0A087WTV6; Q7Z515	
29922	A8K3T6; A0A024R8Z7; B3KSW9; Q5TGZ4; Q9Y5B8; A8MY09	
29925	Q9Y5P6; Q9H7U3; A8K6N5	
29926	A0A024R482; Q9Y5P5; A6NJ74; A8K3Q6; B3KMT4; Q53GI0; Q9NWC3; Q96IJ6	
29929	Q9Y672; Q9H3I0; B3KMU2; Q5SXR9	
29953	Q9UKU6; Q6UWJ4; A5PL19	
29958	B3KQ84; B2RBN0; B4E1J9; Q9UI17	
29968	Q9Y617; A0A024R280; Q5T7G5; A0A024R222; Q9BQ12; Q96AW2; Q5T7G6	
2997	P13807; Q9BTT9	
2998	A0AVD8; P54840	
29988	A0A024R871; Q9NY64; Q5VVV9; Q8WZ05; Q8WUZ9; Q9NSC4; A0A087WT42	
30	A0A024R2M6; P09110; G5E935; Q96CA6; A0A140VJX0	
3000	Q02846; Q6LEA7	
30061	Q9NP59; Q9NRL0; Q7Z4F8; Q8IVB2; Q6FI62	
3028	Q5H927; Q96HD5; Q8TCV9; Q6IBS9; A0A0S2Z410; Q99714	
3029	Q16775; B4DRA7; E7EN93; A8K290; B4DP33	
3030	B4DYP2; Q16679; Q53T69; Q96GT7; Q9UQC5; B2R7L4; Q53TA2; E9KL44; P40939	
3032	P55084; O14969; Q9H3F5; B2RB16; B4E2W0; Q53TA6; Q96C77; Q9T2V8; F5GZQ3	
3033	O00753; Q16836; J3KQ17; O00397; Q4W5B4; O00324; E9PF18	
3034	B4DQC1; P42357; B4E0V8; F5GXF2; Q4VB93; Q4VB92; F5H1U5	
3036	Q9NS49; D2N2G5; G3V1S7; Q92839; Q8IYH3; Q14470	
3037	Q92819; Q32MM3	
3038	Q96RV2; O00219; Q9NYP0; Q8WTZ0; A8K5T5	
3067	P19113; A1L4G0; B7ZM01	
3073	B4DKE7; B4DVA7; H3BP20; P06865; E7ENH7; Q6AI32; A0A0S2Z3W3; Q53HS8	
3074	A0A024RAJ6; P07686; Q5URX0	
3081	A8K417; Q93099; B2R8Z0	
30814	Q5VXJ8; Q9NZK7	
30815	Q5T9C4; Q9H8A2; A0A024R8C6; A0A0S2Z5G9; F6SGE3; Q969X2; Q5T9C5; B4DU80; B3KQ01; Q9ULB8	
30833	V9HWF3; Q9NP82; J3KRC4; Q96HS6; Q8TCD5	
3098	E9PCK0; Q5VTC3; A8K7J7; P19367; Q9NNZ5; O75574; P78542; Q9NNZ4; O43443; Q96HC8; A0A024QZK7; Q59FD4; B3KXY9; O43444	
3099	P52789; Q8WU87; Q9UN82; D6W5J2	
