ec,value,chebi,kegg,pubchem,hmdb
1.1.1.21,8280.0,47953,C16245,65041,
1.1.1.21,4680.0,15743,C01412,261,HMDB03543
1.1.1.21,6732.0,17167,C00937,439350,HMDB06458
1.1.1.21,658.8000000000001,,C00031;D00009,5793,HMDB00122
1.1.1.21,7200.0,34787,C14390,8130,
1.1.1.21,2736.0,,,14090,
1.1.1.21,180.0,28903,C01633,8174,HMDB11624
1.1.1.21,1727.9999999999998,,,,
1.1.1.21,2041.1999999999998,17447,C01500,637566,
1.1.1.21,43.199999999999996,,,101767,
1.1.1.21,4968.0,84268,,31289,
1.1.1.21,151.2,,D05158,7510,
1.1.1.21,8532.000000000002,,,6184,HMDB05994
1.1.1.21,568.8000000000001,,,8103,HMDB12971
1.1.1.21,6588.000000000001,61727,,5283345,
1.1.1.21,2088.0,17071;52501,C00266,756,HMDB03344
1.1.1.21,4752.0,,,19707,
1.1.1.21,421.20000000000005,29452,C09871,643820,HMDB05812
1.1.1.21,1980.0,17378,C00577,79014,
1.1.1.21,2951.9999999999995,19591,C08497,5281168,
1.1.1.21,2304.0,,,,
1.1.1.21,838.8000000000001,,C00124,6036,
4.2.1.96,82800.0,,,,
4.2.1.96,86400.0,,,,
5.3.99.5,73440.0,,,,
5.3.99.5,213840.0,,,,
5.3.99.5,96120.0,15554,C00427,445049,HMDB01381
5.3.99.5,97560.0,15554,C00427,445049,HMDB01381
5.3.99.5,101520.0,27647,C05956,5280883,HMDB03235
1.1.1.284,3744.0000000000005,,C14180,447123,HMDB04662
1.1.1.284,11988.0,,C14180,447123,HMDB04662
1.1.1.284,9000.0,,C14180,447123,HMDB04662
1.1.1.284,9000.0,,C14180,447123,HMDB04662
1.1.1.284,27000.0,50091,,104858,HMDB04645
1.1.1.284,72000.0,50091,,104858,HMDB04645
1.1.1.284,72000.0,50091,,104858,HMDB04645
1.1.1.284,105480.0,50091,,104858,HMDB04645
1.1.1.284,259200000.0,50091,,104858,HMDB04645
1.1.1.284,124200.0,16908,C00004,439153,
1.1.1.284,781.1999999999999,,C08317,79034,HMDB02059
1.1.1.284,781.1999999999999,15846,C00003;D00002,5893,HMDB00902
1.1.1.284,3744.0000000000005,15846,C00003;D00002,5893,HMDB00902
1.1.1.284,9000.0,15846,C00003;D00002,5893,HMDB00902
3.5.1.15,135000.0,21547,C01042,65065,HMDB00812
2.7.1.20,1800.0,16335,C00212;D00045,60961,HMDB00050
2.7.1.21,12600.0,10110,C07210;D00413,35370,
2.7.1.21,1224.0000000000002,,,71575003,
2.7.1.21,1404.0000000000002,,,,
2.7.1.21,1260.0,,,,
2.7.1.21,1692.0,,,,
2.7.1.21,1152.0,,,,
2.7.1.21,1332.0,,,,
2.7.1.21,1584.0,,,,
2.7.1.21,1620.0,,,71575002,
2.7.1.21,1656.0,17748,C00214,5789,HMDB00273
2.7.1.21,34200.0,17748,C00214,5789,HMDB00273
2.7.4.9,4320.0,,,93036,
2.7.4.9,17280.0,17622,C00365,65063,HMDB01409
2.7.4.9,107.99999999999999,,,447405,
2.7.4.9,107.99999999999999,,,165151,
2.7.4.9,208.8,,,50994033,
2.7.4.9,1800.0,,,24853891,
2.7.4.9,3240.0,,,24853891,
2.7.4.9,2628.0,,,50993797,
2.7.4.9,323.99999999999994,,,50993950,
2.7.4.9,360.0,,,50994032,
2.7.4.9,504.0,,,162501,
2.7.4.9,323.99999999999994,,,461278,
2.7.4.9,2160.0,,,53323156,
2.7.4.9,1152.0,,,15986886,
2.7.4.9,2628.0,17013,C00364,9700,HMDB01227
2.7.4.9,2736.0,17013,C00364,9700,HMDB01227
2.7.4.9,10800.0,17013,C00364,9700,HMDB01227
2.7.4.9,1440.0,17013,C00364,9700,HMDB01227
2.7.4.9,10.799999999999999,,,23624139,
2.7.4.9,36.0,,,23624139,
2.7.4.9,43.199999999999996,,,23624139,
2.7.4.9,3024.0,,,50925436,
2.7.4.9,266.4,,,15986888,
2.7.4.9,1727.9999999999998,,,24853892,
2.7.4.3,2818800.0,16761,C00008,6022,HMDB01341
2.7.4.3,3031200.0,16027,C00020;D02769,6083,HMDB00045
2.7.4.3,3032280.0,16027,C00020;D02769,6083,HMDB00045
2.7.4.3,22.68,15422,C00002;D08646,5957,HMDB00538
2.7.4.3,547200.0,15422,C00002;D08646,5957,HMDB00538
2.7.4.3,2458800.0,15422,C00002;D08646,5957,HMDB00538
2.7.4.3,3164400.0,15422,C00002;D08646,5957,HMDB00538
2.7.4.3,3166200.0,15422,C00002;D08646,5957,HMDB00538
1.4.1.3,374400.0,16908,C00004,439153,
1.4.1.3,374400.0,16908,C00004,439153,
1.4.1.3,374400.0,16908,C00004,439153,
1.4.1.3,374400.0,16908,C00004,439153,
1.4.1.3,374400.0,16908,C00004,439153,
1.4.1.3,468000.0,16908,C00004,439153,
1.4.1.3,468000.0,16908,C00004,439153,
1.4.1.3,468000.0,16908,C00004,439153,
1.4.1.3,468000.0,16908,C00004,439153,
1.4.1.3,374400.0,30915,C00026,51,HMDB00208
1.4.1.3,374400.0,30915,C00026,51,HMDB00208
1.4.1.3,468000.0,30915,C00026,51,HMDB00208
1.4.1.3,468000.0,30915,C00026,51,HMDB00208
2.7.6.2,248.40000000000003,18385,C00378,1130,HMDB00235
2.7.6.2,248.40000000000003,15422,C00002;D08646,5957,HMDB00538
4.1.1.33,16200.0,83574,,86289952,
3.1.4.17,15120.0,16356,C00942,24316,HMDB01314
3.1.4.17,1080.0,17489,C00575,6076,HMDB00058
3.1.4.17,1727.9999999999998,17489,C00575,6076,HMDB00058
3.1.4.17,1800.0,17489,C00575,6076,HMDB00058
3.1.4.17,1872.0000000000002,17489,C00575,6076,HMDB00058
1.1.1.270,10.799999999999999,16330,C03917;D07456,10635,HMDB02961
1.1.1.270,177.48,16330,C03917;D07456,10635,HMDB02961
1.1.1.270,187.2,16330,C03917;D07456,10635,HMDB02961
1.2.1.5,27720.0,15846,C00003;D00002,5893,HMDB00902
1.2.1.5,163080.0,15846,C00003;D00002,5893,HMDB00902
1.2.1.5,122400.0,,,6184,HMDB05994
1.2.1.5,183600.0,17169,C00193;C00261,240,HMDB06115
1.2.1.5,139680.0,18009,C00006,5886,HMDB00217
1.2.1.5,129240.0,15343;60379,C00084,177,HMDB00990
1.2.1.5,190800.0,19591,C08497,5281168,
1.2.1.5,27720.0,27871,C06754,33,
1.2.1.3,1980.0,,,226046,
1.2.1.3,2998.7999999999997,,,226046,
1.2.1.3,10188.0,,,34804,
1.2.1.3,21600.0,,,34804,
1.2.1.3,16200.0,28476,C07209,12105,
1.2.1.3,4680.0,,,20315173,
1.2.1.3,108000.0,16424,C00601,998,HMDB06236
1.2.1.3,180000.0,16424,C00601,998,HMDB06236
1.2.1.3,15912.0,,,85217,
1.2.1.3,2221.2,51910,,25195386,
1.2.1.3,44280.0,,,7707,
1.2.1.3,5111.999999999999,17098,C02201,8419,
1.2.1.3,3888.000000000001,,,58609191,
1.2.1.3,19188.0,,,15179612,
1.2.1.3,5652.0,,,285477,
1.2.1.3,28440.0,,,53699002,
1.2.1.3,1512.0,17153;49188;84587,C00479,527,HMDB03366
1.2.1.3,2340.0,17153;49188;84587,C00479,527,HMDB03366
1.2.1.3,4788.000000000001,17153;49188;84587,C00479,527,HMDB03366
1.2.1.3,5328.0,17153;49188;84587,C00479,527,HMDB03366
1.2.1.3,11376.000000000002,17153;49188;84587,C00479,527,HMDB03366
1.2.1.3,22176.0,17153;49188;84587,C00479,527,HMDB03366
1.2.1.3,70920.0,17153;49188;84587,C00479,527,HMDB03366
1.2.1.3,20988.0,,,11569,
1.2.1.3,20988.0,17169,C00193;C00261,240,HMDB06115
1.2.1.3,99720.0,,C07327,10371,
1.2.1.3,10800.0,28617,C06758,7725,
1.2.1.3,29988.0,,,87303054,
1.2.1.3,40320.0,,,83641,
1.2.1.3,9612.0,,,,
1.2.1.3,7811.999999999999,,,57453872,
1.2.1.3,3538.7999999999997,,,10681169,
1.2.1.3,8388.0,,,7479,
1.2.1.3,7668.0,,,7479,
1.2.1.3,11412.0,,,10420437,
1.2.1.3,54720.0,,,7146,
1.2.1.3,144.0,,,,
1.2.1.3,25812.0,66926,,541,
1.2.1.3,16812.0,,,78072,
1.2.1.3,1321.2,,,8658,
1.2.1.3,33588.0,18086,C00637,800,HMDB01190
1.2.1.3,40680.0,18086,C00637,800,HMDB01190
1.2.1.3,568.8000000000001,,,2749252,
1.2.1.3,900.0,,,2749252,
1.2.1.3,12600.0,15846,C00003;D00002,5893,HMDB00902
1.2.1.3,243000.0,16842;17087;17478;18044,C00067;D00017;D01494,712,HMDB01426
1.2.1.3,2401.2000000000003,,,68250,
1.2.1.3,9000.0,16731,C00903,637511,HMDB03441
1.2.1.3,28188.0,16731,C00903,637511,HMDB03441
1.2.1.3,1620.0,,,15614,
1.2.1.3,9000.0,,C10761,31244,
1.2.1.3,3538.7999999999997,,,280725,
1.2.1.3,14400.0,52368,C14099,6201,
1.2.1.3,3600.0,16207,C03067,101,
1.2.1.3,1080.0,,,78437,
1.2.1.3,5400.0,,,5284506,
1.2.1.3,29412.0,,,5284506,
1.2.1.3,9900.0,27434,C07214,10722,
1.2.1.3,4428.0,66927,,11101,
1.4.3.3,18720.0,15570;57416,C00133,71080;7311725,HMDB01310
1.4.3.3,18720.0,15570;57416,C00133,71080;7311725,HMDB01310
1.4.3.3,36000.0,15570;57416,C00133,71080;7311725,HMDB01310
1.4.3.3,36000.0,15570;57416,C00133,71080;7311725,HMDB01310
1.4.3.3,78120.0,49169,,6989908;92222,
1.4.3.3,11520.0,16296;57719,C00525,6923517;9060,HMDB13609
1.4.3.3,53280.0,28479;58570,C06420,6919035;71098,
1.4.3.3,24120.0,17364,C00402,83887,HMDB06483
1.4.3.3,10800.0,16523;35247,C00740,6857549;71077,HMDB03406
1.4.3.3,23760.0,16998,C02265,6919011;71567,
1.4.3.3,3240.0,15428;15705;16228;46874;59869;59871;62031;66884;66933,C00037;D00011,5257127;750,HMDB00123
1.4.3.3,36720.0,16313;57726,C00763,6971012;8988,HMDB03411
1.4.3.5,720.0,,,16204483,
1.4.3.5,684.0,28803,C00627,1055,HMDB01319
1.4.3.4,323.99999999999994,40538,C15562,7504,
1.4.3.4,1170.0,40538,C15562,7504,
1.4.3.4,18000.0,40538,C15562,7504,
1.4.3.4,18000.0,40538,C15562,7504,
1.4.3.4,13752.0,18397,C05332,1001,HMDB12275
1.4.3.4,5331.6,18397,C05332,1001,HMDB12275
1.4.3.4,3229.2,18397,C05332,1001,HMDB12275
1.4.3.4,3592.8,18397,C05332,1001,HMDB12275
1.4.3.4,5040.0,18397,C05332,1001,HMDB12275
1.4.3.4,10332.000000000002,18397,C05332,1001,HMDB12275
1.4.3.4,11160.0,18397,C05332,1001,HMDB12275
1.4.3.4,6588.000000000001,,,83242,
1.4.3.4,1533.6,28790,C00780,5202,HMDB00259
1.4.3.4,21600.0,28790,C00780,5202,HMDB00259
1.4.3.4,66960.0,28790,C00780,5202,HMDB00259
1.4.3.4,666.0,,,29147,
1.4.3.4,896.4,18243,C03758;D07870,681,HMDB00073
1.4.3.4,576.0,17963,C04599,1388,
1.4.3.4,647.9999999999999,17963,C04599,1388,
